study_accession,run_accession,read_count,library_strategy,library_source,library_selection,library_layout,instrument_platform,instrument_model
PRJEB80740,ERR15108343,1788214,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108348,1441104,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108349,1382146,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108350,1732508,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108351,1640298,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108356,1815760,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108358,1640056,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108360,1571770,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108377,1778680,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108378,2044562,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108382,1647830,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108389,1718650,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108390,1950950,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108393,1821588,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108394,1734600,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108396,1663882,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108397,1612776,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108400,2124660,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108405,1758518,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108407,2030430,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108408,2037140,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108409,1984346,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108413,1678028,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108415,1965558,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108419,1624532,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108427,1959514,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108429,1919730,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108442,2187678,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108446,1948960,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108449,1806244,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108452,2104626,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108453,2040214,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108455,1793530,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108456,1802538,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108461,1747980,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108468,1852096,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108470,1914546,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108471,1823130,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108472,1836364,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108473,1781570,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108475,1876178,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108487,7390224,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108489,7272824,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108493,5172506,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108494,7834130,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108495,7657560,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108501,5579568,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108507,5789858,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108512,9153688,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108521,6960010,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108533,7906660,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108535,13882324,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108536,13940528,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108537,13680530,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108538,7631680,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108540,7673854,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108541,7349922,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108543,7631090,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108544,7601426,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108547,7588936,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108548,7565428,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108549,7429128,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108552,7563370,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108554,8761358,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108557,8350508,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108558,7484998,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108561,7130160,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108566,7235112,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108571,9013646,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108575,8699960,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108576,8682544,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108577,8317722,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108579,8455074,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108581,8086006,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB30824,ERR3063510,247370,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJEB30824,ERR3077567,33018093,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJEB30824,ERR3086151,71504020,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJEB30824,ERR3086153,54415743,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJEB30824,ERR3086154,78059019,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJNA521848,SRR8561392,2425294,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten
PRJNA521848,SRR8561396,8552049,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten
PRJNA521848,SRR8561398,2712915,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten
PRJNA521848,SRR8561400,2125271,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten
PRJNA521848,SRR8561403,2399692,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten
PRJNA521848,SRR8561407,9424913,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten
PRJEB25536,ERR2393982,6289901,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2393990,11964390,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2393994,12337684,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2393996,11530949,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2393999,8319810,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2394000,15884694,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2394004,15340074,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2394007,15089064,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2394008,11769650,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2394009,16112936,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2394014,10035185,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2394019,16056610,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2394021,16314474,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB25536,ERR2394024,5166884,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB88970,ERR14951228,4268667,WGS,METAGENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJEB88970,ERR14951229,5498545,WGS,METAGENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJEB88970,ERR14951234,5489603,WGS,METAGENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJEB88970,ERR14951250,5958251,WGS,METAGENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJEB88970,ERR14951252,5226795,WGS,METAGENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJEB88970,ERR14951261,7016102,WGS,METAGENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJEB88970,ERR14951267,6498661,WGS,METAGENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJEB88970,ERR14951269,6576493,WGS,METAGENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 4000
PRJEB20524,ERR1943575,24148281,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB20524,ERR1943579,14881194,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB20524,ERR1943580,20572912,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB20524,ERR1943582,12433944,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB20524,ERR1943585,30440414,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB20524,ERR1943589,26647584,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB20524,ERR1943592,28076694,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB20524,ERR1943596,26570738,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB20524,ERR1943597,34201545,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB20524,ERR1943601,40517845,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB20524,ERR1943602,23271181,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB20524,ERR1943603,13917275,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB20524,ERR1943608,30114584,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777494,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777499,3624860,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777500,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777507,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777509,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777510,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777512,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777514,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777515,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777516,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777517,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777518,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777523,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777526,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777528,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777530,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777532,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777533,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777534,2066219,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777537,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777538,3971984,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777541,3944221,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777542,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777544,2141948,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777547,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777548,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777551,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777556,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777561,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJEB18722,ERR1777568,4000000,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,Illumina HiSeq 2500
PRJNA989404,SRR27127849,192569926,WGA,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000
PRJNA989404,SRR27127869,273190702,WGA,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000
PRJNA989404,SRR27127871,398559129,WGA,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000
PRJNA989404,SRR30589931,224613871,WGA,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000
PRJNA989404,SRR30589933,196926062,WGA,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000
PRJNA662209,SRR12606481,581418,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,NextSeq 500
PRJNA260386,SRR1571381,2513476,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer IIx
PRJEB54826,ERR10015094,112740532,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015095,88111328,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015096,113609952,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015097,86467194,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015100,74744332,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015102,184729924,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015103,132232590,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015105,118580368,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015118,119290368,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015119,109296232,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015120,110654654,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015123,2668782,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015125,3090690,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015126,2912112,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015128,6381944,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB54826,ERR10015129,4940618,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
